Type,Trans Date,Post Date,Description,Amount
PAYMENT,03/24/2016,03/24/2016,"Payment Thank You-Mobile",1580.87
SALE,03/27/2016,03/29/2016,"TAJ CHAAT HOUSE PLANO",-5.43
SALE,04/11/2016,04/13/2016,"SPICE BAZAAR",-8.69
SALE,03/07/2016,03/08/2016,"JCP STARBUCKS",-4.60
PAYMENT,05/12/2016,05/12/2016,"Payment Thank You-Mobile",1139.52
SALE,03/09/2016,03/10/2016,"PHO QUE HUONG",-9.00
SALE,05/25/2016,05/26/2016,"ANNAPURNA",-12.00
SALE,03/31/2016,04/01/2016,"WALMART.COM",-323.67
SALE,02/09/2016,02/10/2016,"SARAVANAA BHAVAN PLANO",-25.00
SALE,02/08/2016,02/10/2016,"AAA TX INSURANCE",-117.32
SALE,02/29/2016,03/02/2016,"MARKET@WORK 2067379149",-3.01
SALE,03/10/2016,03/13/2016,"SPICE BAZAAR",-4.32
SALE,05/24/2016,05/26/2016,"THE HOME DEPOT #6513",-65.43
SALE,04/11/2016,04/12/2016,"SUBWAY JCPENNEY",-5.41
SALE,05/21/2016,05/22/2016,"HYDERABAD HOUSE PLANO",-16.00
SALE,05/10/2016,05/11/2016,"AAA TX INSURANCE - R",-115.32
SALE,05/01/2016,05/02/2016,"MCDONALD'S F33140",-5.39
SALE,02/22/2016,02/23/2016,"SUBWAY JCPENNE10058667",-5.41
SALE,03/19/2016,03/20/2016,"HAUTLK RACK8885478438",-330.03
SALE,05/17/2016,05/18/2016,"FRONTIER UTILITIES",-94.51
SALE,04/05/2016,04/06/2016,"JCP STARBUCKS",-3.52
SALE,04/04/2016,04/05/2016,"JCP STARBUCKS",-3.57
SALE,04/25/2016,04/26/2016,"FRONTIER UTILITIES",-98.17
SALE,02/14/2016,02/15/2016,"NTTA AUTOCHARGE",-40.00
SALE,05/13/2016,05/17/2016,"SANABELS",-15.00
SALE,02/09/2016,02/10/2016,"BAWARCHI SIGNATURE",-11.54
SALE,03/16/2016,03/17/2016,"NTTA AUTOCHARGE",-40.00
SALE,04/29/2016,05/01/2016,"JCP STARBUCKS",-5.85
SALE,05/11/2016,05/11/2016,"OVI LAWN SERVICE",-285.00
SALE,04/12/2016,04/13/2016,"JCP STARBUCKS",-3.52
RETURN,04/07/2016,04/08/2016,"HAUTLK RACK8885478438",183.96
SALE,02/14/2016,02/15/2016,"H2O WIRELESS",-10.00
SALE,03/01/2016,03/02/2016,"WPY*Master JaiKarthick",-100.00
SALE,03/20/2016,03/21/2016,"SUNGLASS HUT 4763",-270.80
SALE,03/18/2016,03/20/2016,"BEN AND JERRYS SOUTH",-4.87
SALE,03/10/2016,03/11/2016,"FRONTIER UTILITIES",-51.60
SALE,03/01/2016,03/02/2016,"WPY*YouCaring",-3.00
SALE,03/18/2016,03/20/2016,"BEN AND JERRYS SOUTH",-2.25
SALE,05/10/2016,05/12/2016,"SPICE BAZAAR",-10.63
SALE,03/11/2016,03/13/2016,"JCP STARBUCKS",-4.60
SALE,04/30/2016,05/01/2016,"CREST NISSAN",-64.75
SALE,05/23/2016,05/24/2016,"ATT*BILL PAYMENT",-72.84
SALE,02/23/2016,02/24/2016,"JCP STARBUCKS",-4.60
SALE,03/06/2016,03/07/2016,"HAUTLK RACK8885478438",-303.00
SALE,02/16/2016,02/18/2016,"MCDONALD'S M7190 OF TX",-2.48
SALE,04/12/2016,04/13/2016,"JCP STARBUCKS",-3.19
SALE,05/21/2016,05/22/2016,"STARBUCKS #11981 FORT WOR",-5.74
